"Turma","Qual sua faixa etária?","qual o seu gênero?","Selecione seu curso","Quantas disciplinas você matriculou para cursar no semestre?","Que tão motivado se sente em trabalhar em grupo de forma remota?","Qual a disponibilidade de tempo para cursar as disciplinas do semestre?","Selecione as disciplinas nas quais você tenha algum conhecimento ou que já cursou","Sugira um Aplicativo de Comunicação ","Qual o seu nível de experiência utilizando Git/GitHub ou outros sistemas de versionamento?","Qual a sua experiência em teste de software e no uso de ferramentas de teste unitário como JUnit,  Jest ou outras?","Qual a sua experiência no uso de sistemas de integração contínua como Jenkins?","Qual a sua experiência no desenvolvimento de software seguindo métodos ágeis?","Qual a sua experiência no gerenciamento de projetos ágeis?","Em quais das seguintes linguagens de programação você tem experiência?","Quais sistemas de gerenciamento de base de dados tem utilizado?","Qual sua experiência previa no desenvolvimento de software? Por exemplo, como estagiário, freelancer, ou participando em projetos open source, de IC/TCC, entre outros...","Em quais frameworks ou IDEs de desenvolvimento tem experiência?","Como considera seu nível de proficiência em leitura e escuta do Inglês?","Possui uma ideia de SI que possa ser explorada por você e seu grupo durante a disciplina? Se sim, faça uma breve descrição da ideia do SI. (Essa informação ajudará a formar os grupos e definir os projetos da disciplina). ","Em quais dos seguintes tipos de software você sente motivação de trabalhar?","Para quais dominios você teria interesse de construir software?"
2020,"18 a 22 anos","Homem","Engenharia de Computação",5,3,"Pretendo ter dedicação exclusiva (40h por semana)","Programação, APOO, Banco de Dados","Slack",1,1,1,2,1,"C, Python, C++","PostgreSQL","Experiência adquirida em projetos de disciplinas","Visual Studio Code",4,,"Aplicativo de celular, Internet das Coisas (IoT)","Sociedade, Saúde, Educação, Meio ambiente, Transporte, Finanças"
2020,"18 a 22 anos","Homem","Engenharia de Computação",6,1,"Pretendo ter dedicação exclusiva (40h por semana)","Programação, APOO, Banco de Dados","Slack",1,1,1,2,1,"Java, C, Python, C#","SQLite","Experiência adquirida em projetos de disciplinas","Visual Studio Code",3,,"Aplicativo de celular, Internet das Coisas (IoT)","Sociedade, Saúde, Educação, Meio ambiente, Transporte, Finanças, e-Commerce"
2020,"18 a 22 anos","Mulher","Engenharia de Computação","4,36075800531395",3,"Pretendo ter dedicação exclusiva (40h por semana)","Programação, APOO","Slack",2,1,1,2,1,"Java, C, Python, C++","Nenhum","Experiência adquirida em projetos de disciplinas","Visual Studio Code",4,,"Aplicativo de celular, Internet das Coisas (IoT)","Sociedade, Saúde, Educação, Meio ambiente, e-Commerce"
2020,"18 a 22 anos","Homem","Engenharia de Computação",6,3,"Preciso dividir o tempo com o trabalho","Programação, APOO, Banco de Dados, Desenvolvimento Web","Discord",4,2,2,3,3,"Python, Javascript","MongoDB","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code, IntelliJ",5,"O projeto do semestre poderia compreender do planejamento e execução de um projeto completo (bd, front end e backend).","Aplicativo de celular, Internet das Coisas (IoT)","Sociedade, Transporte, Finanças"
2020,"23 a 25 anos","Homem","Engenharia de Computação","4,74679701147519",3,"Preciso dividir o tempo com o trabalho","Programação, APOO, Banco de Dados, Desenvolvimento Web","Discord",4,3,1,3,2,"Python, Javascript","MongoDB","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code",4,,"Aplicativo de celular, Internet das Coisas (IoT)","Sociedade, Saúde, Educação, Meio ambiente, e-Commerce"
2020,"23 a 25 anos","Homem","Engenharia de Computação",7,5,"Preciso dividir o tempo com o trabalho","Programação, APOO, Banco de Dados, Desenvolvimento Web","Discord",4,2,1,3,3,"Python, Javascript","MongoDB","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code, React",4,,"Aplicativo de celular, Internet das Coisas (IoT)","Sociedade, Educação, Meio ambiente, e-Commerce"
2020,"18 a 22 anos","Homem","Engenharia de Computação","5,99472373599199",3,"Preciso dividir o tempo com o trabalho","Programação, APOO, Banco de Dados, Desenvolvimento Web","Slack",4,2,1,4,3,"Java, C, Python, Javascript, HTML","MongoDB","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code, React",3,"Ecommerces sao excelentes sistemas para aprender desde login até pagamentos. ","Aplicativo Web, Aplicativo de celular","Sociedade, Saúde, Educação, Transporte, e-Commerce"
2020,"18 a 22 anos","Mulher","Engenharia de Computação",7,4,"Pretendo ter dedicação exclusiva (40h por semana)","Programação, APOO, Banco de Dados","WhatsApp",1,1,1,2,1,"Java, C, Python, C++, HTML","MySQL, PostgreSQL, MongoDB","Experiência adquirida em projetos de disciplinas","Visual Studio Code",2,,"Aplicativo Web, Aplicativo de celular, Internet das Coisas (IoT)","Saúde, Educação, Finanças, e-Commerce"
2020,"18 a 22 anos","Homem","Engenharia de Computação","3,742120123916",5,"Preciso dividir o tempo com o trabalho","Programação, APOO, Banco de Dados, Desenvolvimento Web","WhatsApp",4,2,2,4,4,"Java, C, Javascript, HTML, R, Arduino","PostgreSQL, Oracle","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Visual Studio Code, React",5,,"Aplicativo Web, Aplicativo de celular, Internet das Coisas (IoT)","Educação, e-Commerce"
2020,"18 a 22 anos","Homem","Engenharia de Computação",7,3,"Pretendo ter dedicação exclusiva (40h por semana)","Programação, APOO, Banco de Dados","Slack",3,1,1,3,2,"Java, C","MySQL","Experiência adquirida em projetos de disciplinas","Visual Studio Code",4,,"Aplicativo Web, Aplicativo de celular, Internet das Coisas (IoT), Chat bot","Saúde, Educação, Finanças"
2020,"18 a 22 anos","Homem","Engenharia de Computação",6,3,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Programação, APOO","Slack",2,1,1,2,1,"Java, C, Python, C++","Nenhum","Experiência adquirida em projetos de disciplinas","Visual Studio Code",4,,"Aplicativo Web, Aplicativo de celular, Internet das Coisas (IoT), Chat bot","Sociedade, Meio ambiente"
2020,"18 a 22 anos","Homem","Engenharia de Computação",6,3,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Programação, APOO","Slack",1,1,1,3,1,"Java, C","Nenhum","Experiência adquirida em projetos de disciplinas","Visual Studio Code",4,,"Aplicativo Web, Chat bot","Finanças, e-Commerce"
2020,"18 a 22 anos","Homem","Engenharia de Computação","6,35672034120124",5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Programação, APOO, Banco de Dados","Slack",1,1,1,2,1,"Java, C","Nenhum, MySQL","Experiência adquirida em projetos de disciplinas","Visual Studio Code",3,,"Aplicativo Web, Chat bot","Sociedade, Saúde, Educação, Meio ambiente, Transporte, Finanças, e-Commerce"
