"Course Class","Group","Delivery 1","Delivery 2","Delivery 3","Delivery 4"
2020,"G1","8,2","8,6",,
2020,"G2","8,3","9,2",,
2020,"G3","7,7","8,5",,
2020,"G4","7,2","7,9",,
2021,"G1",9,8,"7,5","9,65"
2021,"G2",6,9,"9,5",10
2021,"G3",7,8,"9,5","9,9"
2021,"G4",8,"7,5",7,9
2021,"G5 ","9,5","7,5","9,5","9,25"
2021,"G6",8,9,"7,5","8,5"
2021,"G7","8,5",8,"8,5","9,75"
2022,"G1",9,"9,5",10,
2022,"G2","9,4","8,1","6,4",
2022,"G3",8,"9,5",6,
2022,"G4","9,7","9,5",10,
2022,"G5 ","9,7","9,2",10,
2022,"G6","8,3","6,9",8,
2023,"G1","5,9","8,6",8,
2023,"G2","9,4","8,1",8,
2023,"G3","8,8","7,5",9,
2023,"G4","9,8","8,7",10,
2023,"G5 ","5,9","6,7","6,7",
2023,"G6",10,"8,3",10,
